graph_label,graph_seed,num_nodes,density,source,target,algorithm,run,time_ms,nodes_expanded,path_cost
small,1,100,0.15,32,24,dijkstra,1,0.174583,79,0.610292
small,1,100,0.15,32,24,dijkstra,2,0.173250,79,0.610292
small,1,100,0.15,32,24,dijkstra,3,0.165667,79,0.610292
small,1,100,0.15,32,24,astar,1,0.063625,11,0.610292
small,1,100,0.15,32,24,astar,2,0.057292,11,0.610292
small,1,100,0.15,32,24,astar,3,0.055541,11,0.610292
small,1,100,0.15,32,24,dijkstra_bidireccional,1,0.159750,45,0.668377
small,1,100,0.15,32,24,dijkstra_bidireccional,2,0.151083,45,0.668377
small,1,100,0.15,32,24,dijkstra_bidireccional,3,0.147292,45,0.668377
small,1,100,0.15,69,45,dijkstra,1,0.213083,100,0.811816
small,1,100,0.15,69,45,dijkstra,2,0.205833,100,0.811816
small,1,100,0.15,69,45,dijkstra,3,0.207042,100,0.811816
small,1,100,0.15,69,45,astar,1,0.044041,6,0.811816
small,1,100,0.15,69,45,astar,2,0.041792,6,0.811816
small,1,100,0.15,69,45,astar,3,0.040958,6,0.811816
small,1,100,0.15,69,45,dijkstra_bidireccional,1,0.123917,37,0.869045
small,1,100,0.15,69,45,dijkstra_bidireccional,2,0.122459,37,0.869045
small,1,100,0.15,69,45,dijkstra_bidireccional,3,0.119250,37,0.869045
small,1,100,0.15,27,42,dijkstra,1,0.088125,37,0.363564
small,1,100,0.15,27,42,dijkstra,2,0.085500,37,0.363564
small,1,100,0.15,27,42,dijkstra,3,0.084666,37,0.363564
small,1,100,0.15,27,42,astar,1,0.018833,2,0.363564
small,1,100,0.15,27,42,astar,2,0.017500,2,0.363564
small,1,100,0.15,27,42,astar,3,0.017084,2,0.363564
small,1,100,0.15,27,42,dijkstra_bidireccional,1,0.071875,14,0.363564
small,1,100,0.15,27,42,dijkstra_bidireccional,2,0.070041,14,0.363564
small,1,100,0.15,27,42,dijkstra_bidireccional,3,0.070291,14,0.363564
small,1,100,0.15,84,64,dijkstra,1,0.082917,34,0.520679
small,1,100,0.15,84,64,dijkstra,2,0.082291,34,0.520679
small,1,100,0.15,84,64,dijkstra,3,0.080292,34,0.520679
small,1,100,0.15,84,64,astar,1,0.058042,9,0.520679
small,1,100,0.15,84,64,astar,2,0.056375,9,0.520679
small,1,100,0.15,84,64,astar,3,0.055667,9,0.520679
small,1,100,0.15,84,64,dijkstra_bidireccional,1,0.100500,26,0.583609
small,1,100,0.15,84,64,dijkstra_bidireccional,2,0.202250,26,0.583609
small,1,100,0.15,84,64,dijkstra_bidireccional,3,0.098458,26,0.583609
small,1,100,0.15,28,36,dijkstra,1,0.068750,25,0.502324
small,1,100,0.15,28,36,dijkstra,2,0.065750,25,0.502324
small,1,100,0.15,28,36,dijkstra,3,0.066083,25,0.502324
small,1,100,0.15,28,36,astar,1,0.034625,4,0.502324
small,1,100,0.15,28,36,astar,2,0.032667,4,0.502324
small,1,100,0.15,28,36,astar,3,0.032042,4,0.502324
small,1,100,0.15,28,36,dijkstra_bidireccional,1,0.069875,14,0.562119
small,1,100,0.15,28,36,dijkstra_bidireccional,2,0.068042,14,0.562119
small,1,100,0.15,28,36,dijkstra_bidireccional,3,0.066750,14,0.562119
small,1,100,0.15,27,77,dijkstra,1,0.089250,38,0.363906
small,1,100,0.15,27,77,dijkstra,2,0.089583,38,0.363906
small,1,100,0.15,27,77,dijkstra,3,0.086209,38,0.363906
small,1,100,0.15,27,77,astar,1,0.018834,2,0.363906
small,1,100,0.15,27,77,astar,2,0.017583,2,0.363906
small,1,100,0.15,27,77,astar,3,0.017291,2,0.363906
small,1,100,0.15,27,77,dijkstra_bidireccional,1,0.128417,38,0.381944
small,1,100,0.15,27,77,dijkstra_bidireccional,2,0.128625,38,0.381944
small,1,100,0.15,27,77,dijkstra_bidireccional,3,0.124292,38,0.381944
small,1,100,0.15,74,24,dijkstra,1,0.126875,57,0.611225
small,1,100,0.15,74,24,dijkstra,2,0.127625,57,0.611225
small,1,100,0.15,74,24,dijkstra,3,0.124875,57,0.611225
small,1,100,0.15,74,24,astar,1,0.051625,7,0.611225
small,1,100,0.15,74,24,astar,2,0.049708,7,0.611225
small,1,100,0.15,74,24,astar,3,0.049333,7,0.611225
small,1,100,0.15,74,24,dijkstra_bidireccional,1,0.089042,22,0.639011
small,1,100,0.15,74,24,dijkstra_bidireccional,2,0.086833,22,0.639011
small,1,100,0.15,74,24,dijkstra_bidireccional,3,0.085959,22,0.639011
small,1,100,0.15,56,9,dijkstra,1,0.188583,86,0.895838
small,1,100,0.15,56,9,dijkstra,2,0.183500,86,0.895838
small,1,100,0.15,56,9,dijkstra,3,0.183875,86,0.895838
small,1,100,0.15,56,9,astar,1,0.017333,2,0.895838
small,1,100,0.15,56,9,astar,2,0.016333,2,0.895838
small,1,100,0.15,56,9,astar,3,0.016042,2,0.895838
small,1,100,0.15,56,9,dijkstra_bidireccional,1,0.136208,40,0.966364
small,1,100,0.15,56,9,dijkstra_bidireccional,2,0.133333,40,0.966364
small,1,100,0.15,56,9,dijkstra_bidireccional,3,0.131291,40,0.966364
small,1,100,0.15,59,6,dijkstra,1,0.188417,82,0.815075
small,1,100,0.15,59,6,dijkstra,2,0.188542,82,0.815075
small,1,100,0.15,59,6,dijkstra,3,0.183083,82,0.815075
small,1,100,0.15,59,6,astar,1,0.014541,2,0.815075
small,1,100,0.15,59,6,astar,2,0.013583,2,0.815075
small,1,100,0.15,59,6,astar,3,0.013167,2,0.815075
