graph_label,graph_seed,num_nodes,density,source,target,algorithm,run,time_ms,nodes_expanded,path_cost
small,1,100,0.15,56,9,dijkstra_bidireccional,1,0.136500,40,0.966364
small,1,100,0.15,56,9,dijkstra_bidireccional,2,0.135417,40,0.966364
small,1,100,0.15,56,9,dijkstra_bidireccional,3,0.131375,40,0.966364
small,1,100,0.15,62,88,dijkstra,1,0.132542,59,0.830687
small,1,100,0.15,62,88,dijkstra,2,0.129750,59,0.830687
small,1,100,0.15,62,88,dijkstra,3,0.184917,59,0.830687
small,1,100,0.15,62,88,astar,1,0.026917,2,0.830687
small,1,100,0.15,62,88,astar,2,0.018917,2,0.830687
small,1,100,0.15,62,88,astar,3,0.018500,2,0.830687
small,1,100,0.15,62,88,dijkstra_bidireccional,1,0.193459,53,0.835385
small,1,100,0.15,62,88,dijkstra_bidireccional,2,0.164500,53,0.835385
small,1,100,0.15,62,88,dijkstra_bidireccional,3,0.200459,53,0.835385
medium,2,500,0.1,315,183,dijkstra,1,2.838125,406,0.688103
medium,2,500,0.1,315,183,dijkstra,2,3.302834,406,0.688103
medium,2,500,0.1,315,183,dijkstra,3,2.779083,406,0.688103
medium,2,500,0.1,315,183,astar,1,0.268916,11,0.688103
medium,2,500,0.1,315,183,astar,2,0.232334,11,0.688103
medium,2,500,0.1,315,183,astar,3,0.233958,11,0.688103
medium,2,500,0.1,315,183,dijkstra_bidireccional,1,2.486667,310,0.688103
medium,2,500,0.1,315,183,dijkstra_bidireccional,2,2.369875,310,0.688103
medium,2,500,0.1,315,183,dijkstra_bidireccional,3,2.490209,310,0.688103
medium,2,500,0.1,271,278,dijkstra,1,1.237792,178,0.383048
medium,2,500,0.1,271,278,dijkstra,2,1.409375,178,0.383048
medium,2,500,0.1,271,278,dijkstra,3,1.175542,178,0.383048
medium,2,500,0.1,271,278,astar,1,0.075500,2,0.383048
medium,2,500,0.1,271,278,astar,2,0.062041,2,0.383048
medium,2,500,0.1,271,278,astar,3,0.061250,2,0.383048
medium,2,500,0.1,271,278,dijkstra_bidireccional,1,0.805583,79,0.452343
medium,2,500,0.1,271,278,dijkstra_bidireccional,2,0.865375,79,0.452343
medium,2,500,0.1,271,278,dijkstra_bidireccional,3,0.805084,79,0.452343
medium,2,500,0.1,364,338,dijkstra,1,1.082292,161,0.447122
medium,2,500,0.1,364,338,dijkstra,2,1.011917,161,0.447122
medium,2,500,0.1,364,338,dijkstra,3,1.010625,161,0.447122
medium,2,500,0.1,364,338,astar,1,0.068125,2,0.447122
medium,2,500,0.1,364,338,astar,2,0.061208,2,0.447122
medium,2,500,0.1,364,338,astar,3,0.061083,2,0.447122
medium,2,500,0.1,364,338,dijkstra_bidireccional,1,1.207167,137,0.463296
medium,2,500,0.1,364,338,dijkstra_bidireccional,2,1.256083,137,0.463296
medium,2,500,0.1,364,338,dijkstra_bidireccional,3,1.176792,137,0.463296
medium,2,500,0.1,196,149,dijkstra,1,0.316042,37,0.178396
medium,2,500,0.1,196,149,dijkstra,2,0.307875,37,0.178396
medium,2,500,0.1,196,149,dijkstra,3,0.299542,37,0.178396
medium,2,500,0.1,196,149,astar,1,0.118083,4,0.178396
medium,2,500,0.1,196,149,astar,2,0.109917,4,0.178396
medium,2,500,0.1,196,149,astar,3,0.108208,4,0.178396
